Source,Target,Weight,Interaction
0,36,1,M
0,37,1,M
0,38,1,M
1,1,24,M
1,5,4,M
1,39,1,M
1,40,3,M
1,41,4,M
1,10,1,M
1,42,1,M
1,43,1,M
1,44,1,M
1,45,1,M
1,46,5,M
1,47,1,M
1,48,2,M
1,49,1,M
1,18,1,M
1,50,1,M
1,21,1,M
1,51,5,M
1,52,1,M
1,53,2,M
1,54,1,M
1,55,1,M
1,56,1,M
1,57,6,M
1,58,2,M
1,59,1,M
1,60,1,M
1,61,1,M
1,62,1,M
1,30,1,M
1,63,1,M
1,64,1,M
1,65,1,M
5,1,1,M
5,208,1,M
5,209,1,M
5,210,1,M
5,211,1,M
5,5,7,M
5,212,1,M
5,213,1,M
5,214,1,M
5,215,1,M
5,216,1,M
5,99,1,M
5,217,1,M
5,218,1,M
5,219,1,M
5,220,1,M
5,221,1,M
5,19,1,M
5,20,1,M
5,222,1,M
5,223,2,M
5,224,1,M
5,225,2,M
5,226,1,M
5,23,1,M
5,227,1,M
5,228,8,M
5,123,2,M
5,37,4,M
5,229,1,M
5,230,2,M
5,204,1,M
5,35,1,M
10,130,2,M
10,400,1,M
10,401,1,M
10,5,1,M
10,136,1,M
10,402,3,M
10,403,2,M
10,404,1,M
10,405,1,M
10,406,1,M
10,407,2,M
10,10,12,M
10,11,2,M
10,89,1,M
10,408,1,M
10,409,1,M
10,410,1,M
10,411,1,M
10,412,2,M
10,15,1,M
10,413,1,M
10,414,3,M
10,160,1,M
10,415,1,M
10,416,1,M
10,164,1,M
10,17,2,M
10,417,2,M
10,18,3,M
10,418,1,M
10,419,3,M
10,25,7,M
10,420,3,M
10,421,1,M
10,422,1,M
10,423,3,M
10,424,1,M
10,26,1,M
10,183,1,M
10,425,1,M
10,426,1,M
10,427,1,M
10,428,1,M
10,29,1,M
10,30,2,M
10,429,2,M
10,430,1,M
10,203,1,M
10,318,1,M
10,32,2,M
10,431,1,M
10,432,1,M
18,550,1,M
18,551,1,M
18,73,1,M
18,552,1,M
18,6,1,M
18,76,1,M
18,405,1,M
18,10,1,M
18,11,1,M
18,408,1,M
18,553,1,M
18,554,1,M
18,287,1,M
18,439,1,M
18,104,1,M
18,555,1,M
18,556,1,M
18,420,1,M
18,120,1,M
18,54,1,M
18,427,1,M
18,557,1,M
18,558,1,M
18,128,1,M
21,622,1,M
21,130,1,M
21,623,1,M
21,73,1,M
21,18,1,M
21,21,3,M
21,51,1,M
21,624,1,M
21,625,1,M
21,55,1,M
21,59,1,M
21,626,1,M
21,627,1,M
30,4,1,M
30,68,2,M
30,718,1,M
30,9,2,M
30,11,1,M
30,719,1,M
30,20,1,M
30,115,1,M
30,720,1,M
30,721,1,M
30,28,1,M
2,66,1,M
2,2,16,M
2,67,1,M
2,68,1,M
2,69,1,M
2,70,1,M
2,71,1,M
2,72,1,M
2,73,3,M
2,74,1,M
2,75,1,M
2,76,1,M
2,77,1,M
2,7,1,M
2,78,1,M
2,79,1,M
2,9,5,M
2,80,1,M
2,81,1,M
2,82,3,M
2,83,1,M
2,84,3,M
2,85,1,M
2,86,1,M
2,87,1,M
2,88,1,M
2,89,1,M
2,90,1,M
2,91,1,M
2,92,1,M
2,13,1,M
2,93,1,M
2,94,1,M
2,95,2,M
2,96,1,M
2,97,1,M
2,15,2,M
2,98,1,M
2,99,2,M
2,100,1,M
2,101,1,M
2,102,1,M
2,103,4,M
2,18,1,M
2,104,3,M
2,105,1,M
2,106,1,M
2,107,1,M
2,108,1,M
2,109,3,M
2,110,1,M
2,111,1,M
2,112,1,M
2,113,1,M
2,114,1,M
2,115,1,M
2,23,2,M
2,116,2,M
2,117,1,M
2,118,1,M
2,25,1,M
2,119,1,M
2,120,2,M
2,121,2,M
2,26,1,M
2,122,4,M
2,123,1,M
2,27,2,M
2,28,4,M
2,124,4,M
2,125,1,M
2,31,5,M
2,126,1,M
2,127,1,M
2,128,5,M
2,129,1,M
7,256,1,M
7,257,3,M
7,130,1,M
7,258,1,M
7,2,9,M
7,259,1,M
7,260,1,M
7,261,1,M
7,67,1,M
7,262,1,M
7,69,1,M
7,263,1,M
7,264,1,M
7,265,1,M
7,266,1,M
7,267,1,M
7,75,1,M
7,268,1,M
7,269,1,M
7,7,9,M
7,79,4,M
7,9,3,M
7,270,1,M
7,271,2,M
7,272,1,M
7,273,1,M
7,274,1,M
7,275,1,M
7,276,1,M
7,233,1,M
7,85,3,M
7,88,1,M
7,277,1,M
7,146,1,M
7,278,1,M
7,279,1,M
7,90,1,M
7,280,1,M
7,281,1,M
7,282,1,M
7,95,1,M
7,283,1,M
7,284,1,M
7,285,1,M
7,286,1,M
7,287,1,M
7,103,1,M
7,288,2,M
7,18,1,M
7,104,2,M
7,105,1,M
7,106,2,M
7,289,1,M
7,290,1,M
7,291,1,M
7,20,4,M
7,292,1,M
7,293,1,M
7,294,1,M
7,295,1,M
7,296,1,M
7,297,1,M
7,298,1,M
7,299,1,M
7,300,1,M
7,172,1,M
7,301,1,M
7,302,1,M
7,303,1,M
7,116,1,M
7,304,1,M
7,25,2,M
7,305,1,M
7,306,1,M
7,307,1,M
7,308,1,M
7,120,2,M
7,121,1,M
7,122,2,M
7,309,1,M
7,27,2,M
7,28,2,M
7,310,1,M
7,311,2,M
7,312,1,M
7,194,1,M
7,313,1,M
7,314,1,M
7,125,1,M
7,31,2,M
7,315,1,M
7,316,1,M
7,317,1,M
7,318,1,M
7,319,3,M
7,127,1,M
7,320,1,M
7,321,1,M
7,128,2,M
7,322,1,M
7,323,1,M
7,324,1,M
7,325,1,M
9,130,1,M
9,2,16,M
9,67,1,M
9,4,1,M
9,382,1,M
9,331,2,M
9,75,2,M
9,77,1,M
9,7,2,M
9,79,2,M
9,9,8,M
9,383,1,M
9,82,1,M
9,384,1,M
9,85,2,M
9,11,1,M
9,385,1,M
9,386,1,M
9,279,1,M
9,90,1,M
9,45,2,M
9,13,1,M
9,282,1,M
9,387,1,M
9,95,1,M
9,388,1,M
9,285,1,M
9,15,1,M
9,389,1,M
9,99,3,M
9,163,1,M
9,165,1,M
9,103,4,M
9,390,1,M
9,18,1,M
9,104,2,M
9,106,2,M
9,391,1,M
9,295,2,M
9,298,1,M
9,109,2,M
9,392,2,M
9,51,1,M
9,115,4,M
9,23,1,M
9,116,1,M
9,25,2,M
9,120,2,M
9,121,5,M
9,393,1,M
9,394,1,M
9,122,4,M
9,27,1,M
9,28,6,M
9,124,4,M
9,395,1,M
9,396,1,M
9,397,1,M
9,398,1,M
9,314,2,M
9,125,1,M
9,31,3,M
9,197,2,M
9,127,1,M
9,35,1,M
9,128,7,M
9,323,1,M
9,399,1,M
9,325,1,M
13,448,1,M
13,449,2,M
13,450,2,M
13,45,2,M
13,13,5,M
13,451,1,M
13,15,2,M
13,452,1,M
13,295,3,M
13,109,4,M
13,25,4,M
13,453,2,M
13,197,1,M
13,199,1,M
15,472,2,M
15,473,1,M
15,130,1,M
15,1,2,M
15,474,1,M
15,2,2,M
15,3,2,M
15,475,1,M
15,476,1,M
15,477,1,M
15,478,1,M
15,479,3,M
15,480,1,M
15,73,7,M
15,5,3,M
15,6,2,M
15,481,2,M
15,75,2,M
15,457,1,M
15,482,3,M
15,136,11,M
15,402,1,M
15,483,1,M
15,7,3,M
15,403,1,M
15,484,1,M
15,9,1,M
15,82,8,M
15,485,1,M
15,486,1,M
15,487,1,M
15,488,1,M
15,489,2,M
15,490,3,M
15,10,7,M
15,233,6,M
15,11,2,M
15,42,3,M
15,146,1,M
15,89,1,M
15,491,1,M
15,44,1,M
15,492,1,M
15,493,1,M
15,494,1,M
15,495,1,M
15,496,1,M
15,497,1,M
15,498,2,M
15,410,1,M
15,499,1,M
15,13,1,M
15,437,1,M
15,500,1,M
15,501,3,M
15,502,1,M
15,503,1,M
15,412,1,M
15,504,1,M
15,451,2,M
15,505,1,M
15,15,19,M
15,506,1,M
15,160,3,M
15,348,1,M
15,507,1,M
15,508,1,M
15,48,1,M
15,164,5,M
15,17,5,M
15,49,1,M
15,166,2,M
15,18,9,M
15,509,1,M
15,510,1,M
15,106,5,M
15,107,1,M
15,353,1,M
15,511,1,M
15,512,3,M
15,513,1,M
15,514,1,M
15,355,1,M
15,419,1,M
15,515,2,M
15,516,1,M
15,517,1,M
15,109,2,M
15,518,1,M
15,519,3,M
15,21,2,M
15,520,1,M
15,112,1,M
15,521,1,M
15,174,1,M
15,522,1,M
15,523,1,M
15,51,1,M
15,175,1,M
15,116,4,M
15,52,1,M
15,245,1,M
15,25,45,M
15,420,1,M
15,120,3,M
15,121,1,M
15,524,1,M
15,525,2,M
15,526,4,M
15,56,4,M
15,228,1,M
15,182,1,M
15,527,1,M
15,58,2,M
15,183,3,M
15,59,8,M
15,27,2,M
15,28,4,M
15,528,1,M
15,60,1,M
15,529,1,M
15,530,1,M
15,124,14,M
15,531,2,M
15,532,1,M
15,533,2,M
15,534,1,M
15,535,1,M
15,536,1,M
15,537,2,M
15,538,2,M
15,539,1,M
15,30,5,M
15,31,1,M
15,197,1,M
15,540,2,M
15,541,1,M
15,203,3,M
15,204,4,M
15,64,1,M
15,32,3,M
15,542,3,M
15,35,1,M
15,543,1,M
15,544,1,M
23,66,2,M
23,434,1,M
23,650,1,M
23,2,2,M
23,651,1,M
23,405,1,M
23,10,1,M
23,11,3,M
23,12,1,M
23,652,1,M
23,408,1,M
23,96,2,M
23,439,1,M
23,653,1,M
23,23,6,M
23,420,1,M
23,427,1,M
23,207,1,M
25,472,3,M
25,473,3,M
25,130,3,M
25,1,3,M
25,2,1,M
25,678,1,M
25,476,1,M
25,679,2,M
25,680,1,M
25,478,1,M
25,479,5,M
25,73,1,M
25,5,5,M
25,481,3,M
25,457,1,M
25,482,9,M
25,136,33,M
25,7,1,M
25,79,1,M
25,681,1,M
25,404,2,M
25,9,10,M
25,405,2,M
25,82,16,M
25,486,4,M
25,274,1,M
25,489,1,M
25,449,2,M
25,490,6,M
25,10,10,M
25,233,15,M
25,85,1,M
25,11,6,M
25,42,2,M
25,146,5,M
25,89,2,M
25,495,2,M
25,450,2,M
25,682,3,M
25,497,1,M
25,498,1,M
25,410,2,M
25,499,5,M
25,13,6,M
25,437,5,M
25,14,1,M
25,501,5,M
25,503,1,M
25,451,1,M
25,505,1,M
25,15,28,M
25,683,1,M
25,16,1,M
25,160,5,M
25,348,1,M
25,580,1,M
25,507,1,M
25,48,2,M
25,164,8,M
25,17,8,M
25,684,1,M
25,417,2,M
25,49,1,M
25,18,7,M
25,510,1,M
25,685,1,M
25,106,1,M
25,107,4,M
25,686,1,M
25,353,2,M
25,687,1,M
25,20,4,M
25,514,3,M
25,355,3,M
25,515,2,M
25,516,2,M
25,295,1,M
25,109,2,M
25,518,1,M
25,519,8,M
25,21,4,M
25,688,1,M
25,300,1,M
25,520,7,M
25,545,1,M
25,51,3,M
25,175,1,M
25,52,1,M
25,245,1,M
25,25,111,M
25,121,3,M
25,524,2,M
25,55,1,M
25,526,5,M
25,56,9,M
25,527,6,M
25,58,4,M
25,183,4,M
25,59,16,M
25,27,4,M
25,28,1,M
25,689,1,M
25,124,19,M
25,531,4,M
25,37,1,M
25,690,1,M
25,533,1,M
25,536,1,M
25,538,7,M
25,691,1,M
25,30,6,M
25,31,2,M
25,692,1,M
25,540,1,M
25,693,1,M
25,203,5,M
25,204,21,M
25,694,1,M
25,32,6,M
25,542,4,M
25,35,1,M
26,21,1,M
26,695,1,M
26,675,1,M
27,696,1,M
27,654,2,M
27,2,12,M
27,559,3,M
27,678,1,M
27,68,1,M
27,697,1,M
27,5,1,M
27,698,1,M
27,9,4,M
27,82,4,M
27,665,1,M
27,146,1,M
27,699,1,M
27,45,1,M
27,99,6,M
27,583,1,M
27,700,1,M
27,701,1,M
27,702,1,M
27,587,4,M
27,590,3,M
27,591,3,M
27,595,3,M
27,225,1,M
27,703,1,M
27,227,1,M
27,24,5,M
27,25,2,M
27,704,1,M
27,705,1,M
27,706,1,M
27,707,1,M
27,27,8,M
27,124,3,M
27,37,4,M
27,604,3,M
27,708,2,M
27,538,1,M
27,691,1,M
27,709,1,M
27,608,1,M
27,31,34,M
27,197,1,M
27,204,2,M
27,128,2,M
27,129,1,M
28,2,4,M
28,710,2,M
28,68,1,M
28,73,1,M
28,75,3,M
28,79,2,M
28,711,1,M
28,9,4,M
28,272,1,M
28,85,2,M
28,88,2,M
28,386,1,M
28,146,1,M
28,278,1,M
28,712,1,M
28,153,1,M
28,713,1,M
28,15,3,M
28,714,1,M
28,715,1,M
28,287,1,M
28,716,1,M
28,166,1,M
28,103,2,M
28,288,2,M
28,172,1,M
28,302,1,M
28,115,1,M
28,25,1,M
28,120,1,M
28,717,1,M
28,121,5,M
28,122,2,M
28,28,8,M
28,124,2,M
28,194,1,M
28,314,1,M
28,125,1,M
28,315,1,M
28,127,1,M
28,128,3,M
28,129,1,M
31,2,6,M
31,722,1,M
31,134,1,M
31,79,1,M
31,9,3,M
31,723,2,M
31,82,2,M
31,664,1,M
31,84,1,M
31,88,1,M
31,724,1,M
31,89,1,M
31,725,1,M
31,45,1,M
31,99,2,M
31,726,1,M
31,582,1,M
31,583,1,M
31,727,1,M
31,590,1,M
31,595,1,M
31,597,1,M
31,227,1,M
31,52,1,M
31,25,1,M
31,27,4,M
31,728,1,M
31,124,2,M
31,37,6,M
31,604,2,M
31,729,1,M
31,252,1,M
31,730,1,M
31,31,14,M
31,197,1,M
31,200,1,M
31,204,1,M
31,35,1,M
3,130,1,M
3,2,1,M
3,131,1,M
3,132,1,M
3,72,1,M
3,133,1,M
3,134,1,M
3,135,1,M
3,136,9,M
3,137,1,M
3,138,1,M
3,79,1,M
3,9,1,M
3,80,1,M
3,82,5,M
3,83,1,M
3,139,1,M
3,140,1,M
3,141,1,M
3,10,9,M
3,85,2,M
3,142,1,M
3,86,1,M
3,87,1,M
3,143,1,M
3,144,1,M
3,145,1,M
3,146,2,M
3,89,1,M
3,147,1,M
3,148,1,M
3,149,1,M
3,150,1,M
3,151,1,M
3,152,1,M
3,153,1,M
3,154,1,M
3,45,1,M
3,155,1,M
3,97,1,M
3,156,1,M
3,15,7,M
3,157,1,M
3,158,1,M
3,159,2,M
3,160,9,M
3,161,1,M
3,162,1,M
3,163,1,M
3,164,9,M
3,165,1,M
3,17,9,M
3,101,1,M
3,166,2,M
3,18,1,M
3,167,1,M
3,108,1,M
3,168,1,M
3,169,1,M
3,170,1,M
3,171,1,M
3,111,1,M
3,172,1,M
3,173,1,M
